agecat,bfast
Under 31,Cereal
46-60,Breakfast Bar
Over 60,Oatmeal
31-45,Oatmeal
46-60,Oatmeal
Over 60,Cereal
31-45,Breakfast Bar
Over 60,Oatmeal
31-45,Oatmeal
31-45,Breakfast Bar
31-45,Cereal
Under 31,Breakfast Bar
Under 31,Breakfast Bar
Over 60,Oatmeal
Over 60,Oatmeal
Under 31,Breakfast Bar
46-60,Oatmeal
31-45,Cereal
31-45,Breakfast Bar
31-45,Breakfast Bar
46-60,Breakfast Bar
Under 31,Cereal
31-45,Breakfast Bar
Over 60,Cereal
46-60,Oatmeal
46-60,Oatmeal
Under 31,Cereal
Over 60,Oatmeal
46-60,Breakfast Bar
46-60,Oatmeal
46-60,Breakfast Bar
46-60,Cereal
Over 60,Oatmeal
Over 60,Cereal
31-45,Cereal
Over 60,Cereal
46-60,Oatmeal
Over 60,Oatmeal
46-60,Cereal
Under 31,Cereal
46-60,Cereal
Over 60,Oatmeal
31-45,Cereal
Under 31,Breakfast Bar
Under 31,Breakfast Bar
Under 31,Cereal
31-45,Oatmeal
Over 60,Oatmeal
46-60,Oatmeal
Under 31,Oatmeal
Under 31,Breakfast Bar
Under 31,Breakfast Bar
46-60,Breakfast Bar
Over 60,Oatmeal
46-60,Oatmeal
Under 31,Cereal
Under 31,Oatmeal
Over 60,Oatmeal
46-60,Oatmeal
Under 31,Cereal
46-60,Oatmeal
Over 60,Oatmeal
Under 31,Cereal
Under 31,Breakfast Bar
31-45,Oatmeal
Over 60,Oatmeal
46-60,Cereal
Under 31,Cereal
46-60,Oatmeal
Over 60,Oatmeal
Under 31,Cereal
Under 31,Oatmeal
Over 60,Oatmeal
31-45,Breakfast Bar
Under 31,Cereal
Under 31,Cereal
Under 31,Breakfast Bar
31-45,Breakfast Bar
31-45,Breakfast Bar
Over 60,Cereal
Over 60,Oatmeal
Under 31,Breakfast Bar
Over 60,Oatmeal
Under 31,Breakfast Bar
Over 60,Cereal
46-60,Cereal
46-60,Oatmeal
31-45,Cereal
Over 60,Oatmeal
31-45,Cereal
31-45,Breakfast Bar
46-60,Cereal
Under 31,Cereal
46-60,Oatmeal
Under 31,Breakfast Bar
Under 31,Breakfast Bar
31-45,Cereal
46-60,Cereal
Over 60,Oatmeal
46-60,Oatmeal
46-60,Breakfast Bar
31-45,Breakfast Bar
46-60,Oatmeal
46-60,Cereal
46-60,Oatmeal
31-45,Breakfast Bar
46-60,Cereal
Over 60,Oatmeal
Over 60,Oatmeal
46-60,Oatmeal
Over 60,Cereal
Under 31,Cereal
46-60,Oatmeal
31-45,Breakfast Bar
46-60,Oatmeal
Over 60,Cereal
46-60,Cereal
Over 60,Oatmeal
Under 31,Breakfast Bar
Under 31,Breakfast Bar
46-60,Oatmeal
31-45,Breakfast Bar
Over 60,Oatmeal
Over 60,Breakfast Bar
Over 60,Oatmeal
31-45,Cereal
Over 60,Oatmeal
Under 31,Cereal
46-60,Oatmeal
46-60,Cereal
31-45,Cereal
46-60,Oatmeal
Under 31,Breakfast Bar
Over 60,Oatmeal
46-60,Cereal
Under 31,Breakfast Bar
31-45,Cereal
Over 60,Oatmeal
Over 60,Oatmeal
46-60,Cereal
31-45,Oatmeal
Over 60,Oatmeal
46-60,Cereal
Over 60,Oatmeal
Under 31,Cereal
Under 31,Cereal
Over 60,Breakfast Bar
Over 60,Cereal
Over 60,Oatmeal
Under 31,Breakfast Bar
31-45,Breakfast Bar
Under 31,Cereal
Under 31,Cereal
Under 31,Cereal
46-60,Oatmeal
Under 31,Cereal
Over 60,Breakfast Bar
31-45,Breakfast Bar
46-60,Oatmeal
31-45,Breakfast Bar
31-45,Breakfast Bar
46-60,Oatmeal
46-60,Cereal
46-60,Oatmeal
Over 60,Oatmeal
31-45,Breakfast Bar
Over 60,Oatmeal
Over 60,Oatmeal
46-60,Oatmeal
Under 31,Cereal
31-45,Cereal
