gender,age,income,ed,card,jobsat,union,polview
Female,20,31,15,Mastercard,Highly dissatisfied,Yes,Conservative
Male,22,15,17,Visa,Highly dissatisfied,No,Moderate
Female,67,35,14,Visa,Somewhat satisfied,No,Slightly conservative
Male,23,20,16,Visa,Somewhat dissatisfied,No,Slightly liberal
Male,26,23,16,Discover,Highly dissatisfied,No,Moderate
Male,64,107,17,Visa,Somewhat dissatisfied,No,Moderate
Female,52,77,14,Other,Somewhat dissatisfied,No,Moderate
Female,44,97,16,American Express,Highly satisfied,No,Conservative
Female,66,16,12,Mastercard,Somewhat dissatisfied,No,Slightly liberal
Male,47,84,11,Other,Somewhat satisfied,No,Slightly liberal
Female,59,47,19,Discover,Neutral,No,Moderate
Female,33,19,8,Mastercard,Somewhat satisfied,No,Moderate
Male,44,73,10,Discover,Highly satisfied,No,Moderate
Male,58,63,18,Discover,Neutral,No,Moderate
Female,72,17,20,Mastercard,Somewhat satisfied,Yes,Slightly liberal
Female,66,23,13,Mastercard,Highly satisfied,Yes,Liberal
Female,57,171,17,Discover,Highly satisfied,No,Slightly conservative
Male,63,424,14,Mastercard,Somewhat satisfied,Yes,Slightly liberal
Female,28,23,11,Visa,Highly dissatisfied,No,Slightly conservative
Female,78,22,16,Visa,Neutral,No,Liberal
Male,61,35,16,American Express,Neutral,No,Liberal
Male,70,28,17,American Express,Highly dissatisfied,Yes,Conservative
Male,61,12,14,American Express,Highly satisfied,No,Slightly liberal
Male,37,29,11,Other,Neutral,Yes,Moderate
Male,39,130,12,Discover,Highly satisfied,No,Extremely liberal
Female,73,69,14,Visa,Neutral,No,Slightly conservative
Female,26,24,16,Discover,Somewhat dissatisfied,No,Conservative
Female,24,29,17,Discover,Highly dissatisfied,No,Conservative
Female,77,11,15,Visa,Highly satisfied,No,Liberal
Male,36,30,19,American Express,Somewhat satisfied,Yes,Extremely liberal
Male,55,80,14,Visa,Highly satisfied,No,Conservative
Female,60,51,18,Discover,Highly satisfied,No,Conservative
Female,59,30,8,Visa,Highly satisfied,Yes,Moderate
Male,28,17,11,Mastercard,Somewhat dissatisfied,Yes,Slightly conservative
Male,53,141,20,Discover,Highly satisfied,No,Conservative
Male,36,45,12,Discover,Somewhat satisfied,No,Liberal
Male,47,137,20,American Express,Somewhat satisfied,No,Extremely conservative
Male,75,10,11,Discover,Somewhat dissatisfied,No,Slightly liberal
Female,49,73,22,Discover,Neutral,Yes,Moderate
Female,59,63,13,Discover,Neutral,No,Moderate
Female,55,50,12,American Express,Somewhat dissatisfied,No,Moderate
Male,25,50,14,Discover,Somewhat dissatisfied,No,Slightly conservative
Male,78,28,11,Visa,Highly satisfied,No,Moderate
Female,48,23,11,Other,Somewhat dissatisfied,No,Slightly conservative
Male,47,75,19,American Express,Somewhat satisfied,No,Slightly liberal
Male,75,28,10,American Express,Somewhat dissatisfied,No,Conservative
Female,43,33,19,Discover,Highly dissatisfied,No,Moderate
Male,45,44,10,Mastercard,Somewhat dissatisfied,No,Slightly conservative
Male,21,31,16,Discover,Highly dissatisfied,No,Conservative
Male,53,284,21,Discover,Somewhat dissatisfied,No,Conservative
Female,30,49,13,Visa,Somewhat satisfied,No,Moderate
Female,58,15,19,Mastercard,Highly satisfied,No,Moderate
Male,35,17,11,Discover,Somewhat dissatisfied,Yes,Moderate
Female,48,83,14,Discover,Neutral,No,Moderate
Female,57,82,15,Mastercard,Highly satisfied,No,Slightly conservative
Female,61,62,20,American Express,Somewhat satisfied,No,Slightly conservative
Female,56,138,19,Discover,Somewhat satisfied,No,Moderate
Female,29,35,17,Mastercard,Somewhat satisfied,No,Moderate
Female,68,35,11,American Express,Neutral,No,Conservative
Male,22,20,16,Discover,Highly dissatisfied,No,Liberal
Female,46,25,10,Visa,Somewhat satisfied,No,Liberal
Male,24,33,17,Discover,Highly dissatisfied,No,Moderate
Female,78,32,16,Visa,Highly satisfied,No,Moderate
Male,73,16,10,American Express,Somewhat satisfied,No,Conservative
Female,26,64,20,Discover,Somewhat satisfied,No,Conservative
Female,44,31,15,American Express,Somewhat satisfied,No,Moderate
Male,30,18,12,Visa,Somewhat dissatisfied,No,Conservative
Male,44,41,8,Visa,Neutral,No,Extremely liberal
Female,21,22,12,Other,Highly dissatisfied,Yes,Liberal
Female,62,14,9,Visa,Highly dissatisfied,Yes,Slightly liberal
Male,33,82,14,American Express,Somewhat satisfied,Yes,Slightly conservative
Male,65,91,17,American Express,Neutral,Yes,Slightly conservative
Male,38,74,16,American Express,Somewhat dissatisfied,No,Liberal
