sales,type,price,engine,horsepow,wheelbas,width,length,weight,fuelcap,mpg
16.919,Automobile,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28
39.384,Automobile,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25
14.114,Automobile,,3.2,225,106.9,70.6,192,3.47,17.2,26
8.588,Automobile,42,3.5,210,114.6,71.4,196.6,3.85,18,22
20.397,Automobile,23.99,1.8,150,102.6,68.2,178,2.998,16.4,27
18.78,Automobile,33.95,2.8,200,108.7,76.1,192,3.561,18.5,22
1.38,Automobile,62,4.2,310,113,74,198.2,3.902,23.7,21
19.747,Automobile,26.99,2.5,170,107.3,68.4,176,3.179,16.6,26
9.231,Automobile,33.4,2.8,193,107.3,68.5,176,3.197,16.6,24
17.527,Automobile,38.9,2.8,193,111.4,70.9,188,3.472,18.5,25
91.561,Automobile,21.975,3.1,175,109,72.7,194.6,3.368,17.5,25
39.35,Automobile,25.3,3.8,240,109,72.7,196.2,3.543,17.5,23
27.851,Automobile,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24
83.257,Automobile,27.885,3.8,205,112.2,73.5,200,3.591,17.5,25
63.729,Automobile,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22
15.943,Automobile,44.475,4.6,275,112.2,75,201,,18.5,22
6.536,Automobile,39.665,4.6,275,108,75.5,200.6,3.843,19,22
11.185,Automobile,31.01,3,200,107.4,70.3,194.8,3.77,18,22
14.785,Truck,46.225,5.7,255,117.5,77,201.2,5.572,30,15
145.519,Automobile,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27
135.126,Automobile,16.535,3.1,170,107,69.4,190.4,3.051,15,25
24.629,Automobile,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25
42.593,Automobile,19.39,3.4,180,110.5,72.7,197.9,3.34,17,27
26.402,Automobile,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25
17.947,Automobile,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,22
32.299,Automobile,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33
21.855,Automobile,9.235,1,55,93.1,62.6,149.4,1.895,10.3,45
107.995,Automobile,18.89,3.4,180,110.5,73,200,3.389,17,27
7.854,Automobile,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24
