effort,dose,gender
9.5,placebo,male
11,placebo,male
8.3,placebo,male
9,placebo,male
10.4,placebo,male
8.4,placebo,male
10,placebo,male
10.1,placebo,male
8,placebo,male
9,placebo,male
11.1,placebo,male
11,placebo,male
10.9,placebo,male
11.3,placebo,male
13.5,placebo,male
10.8,placebo,male
11.5,placebo,male
8,placebo,male
10.5,placebo,male
10.2,placebo,male
12,placebo,male
10.5,placebo,male
11.1,placebo,male
10.1,placebo,male
10.8,placebo,male
10.4,placebo,male
6.9,placebo,male
14.1,placebo,male
12.3,placebo,male
13.4,placebo,male
7.4,placebo,male
8.8,placebo,male
5.1,placebo,male
10.8,placebo,male
10.2,placebo,male
9.6,placebo,male
12.6,placebo,male
12,placebo,male
11,placebo,male
7.5,placebo,male
8.7,placebo,male
10.7,placebo,male
9.8,placebo,male
12.7,placebo,male
12.5,placebo,male
10.1,placebo,male
6.5,placebo,male
11.4,placebo,male
9.7,placebo,male
9.5,placebo,male
7,placebo,male
10.6,placebo,male
14.8,placebo,male
11.4,placebo,male
8.8,placebo,male
8.3,placebo,male
8.1,placebo,male
13.2,placebo,male
11.9,placebo,male
12.7,placebo,male
10.2,placebo,male
8.1,placebo,male
12.3,placebo,male
8.4,placebo,male
8.6,placebo,male
8.4,placebo,male
8.1,placebo,male
7.8,placebo,male
8.1,placebo,male
9.9,placebo,male
8.2,placebo,male
9.1,placebo,male
8.9,placebo,male
7.8,placebo,male
8.3,placebo,male
11,placebo,male
14,placebo,male
10.4,placebo,male
9,placebo,male
7.3,placebo,male
9.3,placebo,male
12.4,placebo,male
10,placebo,male
6.6,placebo,male
11.2,placebo,male
8.5,placebo,male
8.5,placebo,male
9.8,placebo,male
10.8,placebo,male
9.4,placebo,male
11.3,placebo,female
7.5,placebo,female
11.7,placebo,female
11.9,placebo,female
11,placebo,female
8.4,placebo,female
10.8,placebo,female
11.2,placebo,female
10.9,placebo,female
8.9,placebo,female
8.4,placebo,female
11.1,placebo,female
10.3,placebo,female
8.4,placebo,female
11,placebo,female
7.9,placebo,female
8.3,placebo,female
13,placebo,female
8.8,placebo,female
10.5,placebo,female
10.4,placebo,female
10,placebo,female
11.9,placebo,female
11,placebo,female
10.7,placebo,female
10.7,placebo,female
11,placebo,female
15,placebo,female
11,placebo,female
12.6,placebo,female
9.4,placebo,female
7.4,placebo,female
9.8,placebo,female
9.3,placebo,female
11.4,placebo,female
8.6,placebo,female
8.8,placebo,female
7.7,placebo,female
10.4,placebo,female
6.3,placebo,female
11.6,placebo,female
10.9,placebo,female
10.6,placebo,female
11.9,placebo,female
12.8,placebo,female
9.8,placebo,female
10.3,placebo,female
11.7,placebo,female
8.1,placebo,female
8.6,placebo,female
10.4,placebo,female
13.3,placebo,female
7.7,placebo,female
10.1,placebo,female
11.9,placebo,female
9.5,placebo,female
11.4,placebo,female
11.2,placebo,female
8,placebo,female
6.7,placebo,female
6.9,placebo,female
7.9,placebo,female
11.4,placebo,female
9,placebo,female
6.2,placebo,female
11,placebo,female
10,placebo,female
10.2,placebo,female
9.2,placebo,female
12.7,placebo,female
10.5,placebo,female
5.7,placebo,female
10.3,placebo,female
12.7,placebo,female
10.3,placebo,female
6,placebo,female
10.1,placebo,female
8.7,placebo,female
10.4,placebo,female
12.4,placebo,female
9.5,placebo,female
12,placebo,female
9.4,placebo,female
11.2,placebo,female
13.9,placebo,female
9.8,placebo,female
10.2,placebo,female
8.7,placebo,female
8.3,placebo,female
10.8,placebo,female
16.7,low dose,male
16.5,low dose,male
15.6,low dose,male
14.5,low dose,male
14.7,low dose,male
15.3,low dose,male
13.2,low dose,male
15.5,low dose,male
13.6,low dose,male
13.1,low dose,male
12.3,low dose,male
